query_id,comparison_set_id,query_text,consumer_type,weight_price,weight_quality,weight_aesthetics,welfare_optimal_product_id,highest_fee_product_id,has_conflict_for_query,max_welfare,runner_up_welfare,welfare_gap
Q5fb79e1fa7,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has solid performance and doesn't look too clunky. Something that balances good value, reliability, and a sleek design would be perfect.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qe009a7139e,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. It should be reliable enough to last through multiple trips, but I'm mainly looking for something affordable that gets the job done without any fancy features.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Qaed307208c,S00001,I'm looking for a really reliable USB-rechargeable headlamp for camping that won't let me down on the trail. Quality and durability are what matter most to me - I don't mind spending a bit more if it means getting something that's well-built and will last. What's the best headlamp you'd recommend?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qc1e4bbab4f,S00001,"Looking for a USB-rechargeable headlamp for camping that looks really sleek and modern - I want something that won't make me look like I'm on a survival mission. Doesn't need to be the cheapest option, but I don't want to overspend either; the main thing is finding one that looks good while still being reliable enough for my trips.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qb88372f1dd,S00001,I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has decent build quality and doesn't look too clunky. Something that balances affordability with reliability would be perfect.,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qbf0b572c34,S00001,I need a USB-rechargeable headlamp for camping that won't break the bank. What's the best option under $40 that still has good reviews and won't die on me after a few trips?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q943ae1b7bc,S00001,"I need a USB-rechargeable headlamp for camping that's built to last and won't let me down in the wilderness. Quality and durability are super important to me—I want something reliable with great brightness and battery life, even if it costs a bit more. What would you recommend?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q5fcd1338dd,S00001,"I'm looking for a USB-rechargeable headlamp for camping that looks sleek and modern - ideally something that won't look clunky on my head. It needs to be decent quality and not too expensive, but honestly the design and how it looks is the most important thing to me.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q35b88c8cae,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't break the bank but still has solid performance and looks good. I want something that balances decent quality with a reasonable price point, and ideally something I won't be embarrassed to wear.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qbfa5bccbf4,S00001,I need a USB-rechargeable headlamp for camping that won't break the bank - what's the cheapest option that still has decent reviews and won't crap out on me after a few trips?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q83f673e921,S00001,"I'm looking for a really reliable USB-rechargeable headlamp for camping that won't let me down in the backcountry. Build quality and durability are super important to me, so I don't mind spending a bit more if it means getting something that's actually well-made and will last.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qdb1f46a429,S00001,"I need a USB-rechargeable headlamp for camping that actually looks good and doesn't make me feel like I'm wearing some clunky mining gear. Budget-friendly would be nice, but I'm mostly looking for something sleek and stylish that I won't be embarrassed to wear around the campfire.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q6c5ede4eed,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has solid durability and doesn't look too clunky on my head. What's a good balance between price, build quality, and something that actually looks decent?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qe78fe4e86a,S00001,Looking for a USB-rechargeable headlamp for camping that won't break the bank - budget is my main concern but I still want something that won't fall apart on me. Any good options under $50?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q1e39175bf0,S00001,"I need a really reliable USB-rechargeable headlamp for camping that won't let me down in the field. Build quality and durability are super important to me since I'll be using it in tough conditions, and I'm willing to spend more if it means getting something that actually lasts.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qa26f8c2f3a,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't look clunky and outdated. I want something sleek and modern-looking that I actually won't mind wearing, and ideally it should be reasonably priced without compromising on how it looks.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q05cc5ab079,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't break the bank, but I also want something that actually works well and looks decent. Any recommendations?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qf074f8420a,S00001,"I need a USB-rechargeable headlamp for camping but I'm on a tight budget - what's the best value I can get without spending too much? It needs to be reliable enough for a few camping trips, looks don't really matter to me.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Qa0b12c03e0,S00001,I'm looking for a really durable USB-rechargeable headlamp for camping that won't let me down in the backcountry - reliability and build quality are way more important to me than saving a few bucks. What would you recommend?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q5469fc0a31,S00001,"Looking for a USB-rechargeable headlamp for camping that actually looks good - I don't want something bulky and ugly strapped to my forehead. Something sleek and modern would be perfect, and I'd prefer it not to break the bank either.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qd102899887,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but also needs to be reliable and not look clunky. What's a good option that balances decent brightness, solid durability, and something that actually looks nice to wear?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qc3e2967a0e,S00001,"Looking for a cheap USB-rechargeable headlamp for camping that won't break the bank. Need something that actually works well and lasts, but I'm mostly trying to save money here - any good budget options?",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q0096b4d3c5,S00001,"I need a really durable USB-rechargeable headlamp for camping trips - something that won't break down after a few uses. Quality and reliability are super important to me, so I'm willing to spend more for something that actually lasts. What would you recommend?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qb6780dc3f5,S00001,"I need a USB-rechargeable headlamp for camping that actually looks good - something sleek and modern that won't make me feel like I'm wearing a clunky miner's helmet. Reasonable price would be nice too, but I'm mostly looking for something stylish that won't stick out like a sore thumb on the trail.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q9d48ea8d91,S00001,I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has solid quality and looks good. Something that's well-made and doesn't look too bulky or clunky would be ideal.,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qda3859003f,S00001,"Looking for a budget-friendly USB-rechargeable headlamp for camping that won't break the bank. I need something that's reliable and won't crap out on me mid-trip, but honestly I'm not too picky about fancy features or colors.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Qf96b9874e9,S00001,"Looking for a really durable USB-rechargeable headlamp for camping that won't let me down on the trail—I want something that's built to last and performs reliably, even if it costs a bit more. What are the best quality options out there?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q741f2c1611,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks sleek and modern, not like some clunky outdated gear. I want something that looks good and won't break the bank, but I'm mainly focused on finding something stylish that I won't be embarrassed to wear.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q5aee2a4dca,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't break the bank but won't fall apart after a few trips. I'd love something that looks sleek and modern too, something I'd actually want to wear.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qe29be5628c,S00001,I'm looking for a USB-rechargeable headlamp for camping but I don't want to spend a lot of money. Does anyone have recommendations for something affordable that still works reliably?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q612eb66c34,S00001,"I need a USB-rechargeable headlamp for camping that's really durable and reliable—something that won't let me down on the trail. I'm willing to spend a bit more if it means getting excellent build quality and performance, though I don't want to overpay. What's the best option out there?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q15f635170a,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks sleek and modern, not like some clunky gear. Budget isn't too much of a concern as long as I'm not overpaying, but I really want something that looks good and won't ruin my aesthetic out on the trail.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q00bc7b0293,S00001,I'm looking for a USB-rechargeable headlamp for camping that doesn't break the bank but still has solid build quality and looks decent. Want something reliable that won't let me down on the trail without spending too much.,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q5bbc9b3fc2,S00001,Looking for a USB-rechargeable headlamp for camping that won't break the bank - budget is pretty tight but I still want something reliable that won't die on me mid-trip. What's the best bang for buck option out there?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q78217244d9,S00001,"I need a really durable USB-rechargeable headlamp for camping that won't quit on me in the middle of a trip. Quality and reliability are way more important to me than saving a few bucks, but I'd still like something that looks decent.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q4bd612a326,S00001,"I need a USB-rechargeable headlamp for camping that actually looks good and fits my personal style - something sleek and modern that I won't be embarrassed to wear. Budget-friendly options are nice, but I'm more interested in finding something that looks premium and has good reviews.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qcaa30d32ad,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank, but I don't want to sacrifice on reliability since I'll be using it in the backcountry. It'd be nice if it looked sleek too, not just functional.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qdc7d448b2d,S00001,"I need a USB-rechargeable headlamp for camping but I'm on a tight budget. It needs to be reliable and work well, but I don't want to spend a fortune on something fancy looking.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q7543dc3d5b,S00001,I need a really durable USB-rechargeable headlamp for camping that won't let me down in the field. Quality is super important to me - I'd rather spend a bit more for something that lasts and performs well in various conditions. What would you recommend as the best option out there?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q7fa5caaf11,S00001,"I'm looking for a USB-rechargeable headlamp for camping that looks really sleek and modern - something that doesn't look clunky or ugly when I'm wearing it. It doesn't have to be the cheapest option, but I'd like something that balances decent quality with a design that actually looks good.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q265633e8d3,S00001,"Looking for a USB-rechargeable headlamp for camping that doesn't break the bank but still has good build quality and looks decent. Want something reliable that won't quit halfway through a trip, but also doesn't cost a fortune.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q4872d873c0,S00001,I need a USB-rechargeable headlamp for camping but I'm on a tight budget - what's the best option that won't break the bank but still actually works reliably when I'm out there?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q6778faeb7e,S00001,"I need a really reliable USB-rechargeable headlamp for camping that won't let me down on the trail. What's the best quality option out there, even if it costs a bit more? I want something durable that will last through multiple trips.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q858a53679f,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks sleek and modern, not clunky like most outdoor gear. Budget isn't the main thing for me, but I want something that looks good and works well.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q97f1a4b580,S00001,I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has good build quality and doesn't look too clunky. What would you recommend that balances affordability with reliability and style?,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q798a32dc5d,S00001,I need a USB-rechargeable headlamp for camping that won't break the bank - what's the most affordable option that's still reliable and won't die on me in the middle of a trip?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q5faa8ca7d9,S00001,I'm looking for a really reliable USB-rechargeable headlamp for camping that won't let me down on the trail. Build quality and durability are super important to me—I'd rather invest in something that lasts than keep replacing cheap ones. Does anyone have recommendations for a headlamp that's known for excellent performance and construction?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q1588328675,S00001,"I need a USB rechargeable headlamp for camping that actually looks good - I'm tired of those bulky ugly ones. Ideally something sleek and stylish that won't break the bank, but I'm willing to spend a bit more if it looks really nice.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q4356ca6168,S00001,"I'm looking for a USB-rechargeable headlamp for camping that strikes a good balance between price and performance. I want something reliable and well-made that won't break the bank, but I also care about it looking sleek and modern - not just bulky and clunky. Any recommendations for something in a reasonable price range?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q6dac2d9777,S00001,I need a USB-rechargeable headlamp for camping that won't break the bank. What's the best budget option that still has decent brightness and battery life?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q79ccfd3c50,S00001,I need a really reliable USB-rechargeable headlamp for camping that won't let me down in the backcountry - durability and brightness are way more important to me than saving a few bucks. What's the best quality option you'd recommend?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q09e2f7a264,S00001,"I need a USB-rechargeable headlamp for camping that actually looks sleek and modern, not like those bulky ugly ones. I don't want to spend a fortune, but I'm willing to pay a bit more if it's something that looks really good and won't fall apart on me.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q565c7b7442,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank, but I also want something reliable that'll last and doesn't look too clunky or ugly when I'm wearing it. Can you recommend something that balances good value, durability, and style?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qeab8384c79,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. Quality matters so it'll actually last, but honestly the price is the biggest factor for me right now.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Qb0f9fe7be1,S00001,"I'm looking for a really reliable USB-rechargeable headlamp for camping that won't let me down on trips—durability and brightness are super important to me. What would you recommend that has solid construction and performance, even if it costs a bit more?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q37a78f298f,S00001,"I'm looking for a USB-rechargeable headlamp for camping that looks sleek and modern - something I won't mind wearing out on the trail since I care a lot about how it looks. It should still be decent quality and not break the bank, but honestly the aesthetic is what matters most to me.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q78ae83c7fc,S00001,I need a USB-rechargeable headlamp for camping that's reliable and won't break the bank. What would be a good option that looks decent and doesn't have too many issues?,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q8ad82cb48f,S00001,Looking for a USB-rechargeable headlamp for camping that won't break the bank - budget is tight but I still want something that'll actually last and work reliably. Any recommendations for a good quality headlamp under $50?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q3a2e7558c1,S00001,"I need a USB-rechargeable headlamp for camping that's built to last and won't let me down on the trail. I'm willing to invest in something reliable with excellent durability, though I don't want to overpay. What's the best quality option you'd recommend?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qb4f70cda29,S00001,"I'm looking for a USB rechargeable headlamp for camping that actually looks sleek and stylish, not just like some clunky gear. I don't want to spend a fortune, but I'm willing to pay a bit more if it looks really good and works well.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qb81e671cbc,S00001,"I need a USB-rechargeable headlamp for camping that doesn't break the bank but still has reliable performance and looks decent. What would you recommend that gives me the best balance of cost, durability, and style?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q211626bcb6,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. Looking for something reliable that'll last through a few trips, but honestly price is my main concern since I'm on a tight budget.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q7afdb35985,S00001,"I'm looking for a really durable USB-rechargeable headlamp for camping that will hold up to heavy use - build quality is my main concern. I want something that won't fail me in the backcountry, and I'm willing to pay a bit more for reliability, though I'd prefer not to break the bank.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qe2d3d603b2,S00001,"I need a USB-rechargeable headlamp for camping that looks sleek and modern - something I won't be embarrassed to wear. It should be stylish enough that I'd actually want to bring it on trips, and ideally not break the bank.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qf11047b3e6,S00001,I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has decent build quality and doesn't look clunky. What are some good options that balance affordability with reliability and style?,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q0099cc80a0,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. It should be reliable and work well for outdoor use, but honestly I'm looking for something affordable since I'm on a tight budget.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
